backend	model	wav	lang_tag	audio_s	elapsed_s	rtfx	detected_lang	text
cuda	0.6B	15s_en.wav	en	15.000	0.596	25.151	English	All right, viewers. Welcome everyone into this crash course about our new 50-minute time frame entry models and strategy. If you are here, it means you have already completed the first swing trading strategy. So congratulations on reaching this.
cuda	0.6B	90s_en.wav	en	90.000	5.280	17.047	English	All right, viewers, welcome everyone into this crash course about our new 50-minute time frame entry models and strategy. If you are here, it means you have already completed the four-hour swing trading strategy, so congratulations on reaching this next stage in your trading journey. Now, let me be clear upfront: if you haven't fully learned and understood the four-hour strategy, this 50-minute course won't make so much sense to you. The 50-minute entries are built on top of what we already know from the higher time frame strategy. So if you skip ahead, I strongly recommend you going back first before diving in here on the 50-minute time frame. All right, so what's the different about this course? Well, first off, we are keeping things simple, short videos, straight to the point, and focused purely on execution. But most importantly, you'll notice that we will be abandoning a few concepts from the four-hour course by introducing some new elements into our playbook. For example, one major shift is that we'll no longer be using the order book entries the way we did them before on the four-hour strategy. But don't worry, we'll cover that exactly why and what we will use instead. So, who is this entry model for? Who is this strategy for? Who will use this 50-minute time frame strategy? This is for those traders who have some extra time to monitor the markets and want to scale in into opportunities to trades on the lower time frame while still leveraging.
cuda	0.6B	180s_en.wav	en	176.309	11.352	15.531	English	Help, Panther! Hang on. Oh, this is gonna be good. I wish I had some popcorn. Hey, intruder, intruder, lockdown initiated. Wendy. Target lock, intercept intruder. What's this? I don't know. Check it out. Come on, who hit me? Halt intruder, halt intruder. Surrender now or be subdued. Wait, I recognize that dimwit's snarl. Panther, you're no intruder, but you're not supposed to be out of your. Oh no. Wait, Robo Dodge. Now listen here. Uh oh. Robo block. Robo headbox. Now as I was saying. Oh boy. Robo out! Please stop hitting me with my own arm. Panther, don't you remember your purpose? You mean besides kicking your shiny butt? This is all a misunderstanding. I'm Beastbot, head of lab security. Sorry about the arm. Keep it. I always carry a spare. Something's coming. Uh oh. Oh, it's banana. We saved Jimmy or what? Just let me power up real quick. Pandemonium particles. Nope. Last time you had those, you destroyed half the lab. Now what do you mean save Jimmy? That's what I've been trying to tell you. Some kind of monsters took him. Oh no, that must mean the lab's been infiltrated by the Shroud. The Shroud? Oh, that upgrade must have really fried the big guy's memory. Probably because someone released him before it was complete. My bad. When Jimmy and his friends unleashed the power of pandemonium particles, the Shroud invaded. They'll destroy the whole world just to get the PP. Please don't call it that. Jimmy uses the pandemonium particles to create experiments like you and banana. Why'd you say banana like that? I heard a tone. So why take Jimmy? He's the only one that knows how to make the pink stuff. Oh, come on. They're probably mashing him as we speak. If the talking banana's right, we gotta get moving. They've clearly figured out a way to evade our security system. We can't track them. He could be anywhere down there, and your upgraded powers haven't activated yet. You're no match for the Shroud. Oh, little Miss Sunshine over here. Banana blaster. We have no idea where Jimmy is or how many Shroud have made it down there. I'll keep each level sealed until you clear it. Okay, Panther. Here's the plan. You. Yeah, you're in charge. Buckle up, banana. Oh yeah. We're gonna save Jimmy. Banana blaster. Good luck, Panther. You're going to need all the help you can get. Banana blaster.
cuda	0.6B	30s_zh.wav	zh	30.092	1.767	17.030	Chinese	我现在在天海酒吧，限你十分钟内到我面前。十分钟，二十公里呢。自己想办法。怎么说啊，舒心？就是怎么样啊，舒心，别卖关子。他说好。真的呀，再见。这要是十分钟之内他到了，这顿酒我们俩可都请了。嗯，要是没到，你请。那我肯定是赢定了。舒心，他毕竟是你丈夫，这样做会不会不太好？有什么不好？自从爷爷死后，这三年来，无论我提出什么，他都不肯跟我离婚。既然他死缠烂打，那我。
cuda	0.6B	180s_zh.wav	zh	180.000	12.239	14.707	Chinese	我现在在天海酒吧，限你十分钟内到我面前。十分钟，二十公里呢。自己想办法。怎么说啊，舒心？就是怎么样啊，舒心，别卖关子。他说好。真的呀，再见。这要是十分钟之内他到了，这顿酒我们俩可都请了。嗯，要是没到，你请。那我肯定是赢定了。舒心，他毕竟是你丈夫，这样做会不会不太好？有什么不好？自从爷爷死后，这三年来，无论我提出什么，他都不肯跟我离婚。既然他死缠烂打，那我就当身边有条狗就好。才只剩一分钟了，这人还没来啊，看来舒心要输喽。怎么舒心？没受过。我赢了。我去，真有你的舒心，你怎么调教的呀？还得是你啊，舒心。什么情况？没有什么情况。可是你刚才给我打电话，好像很着急的样子。我叫你来呢，就是为了给大家消遣消遣。消遣。没错，消遣。舒心跟我打赌，说他一个电话，无论多远，你都会屁颠屁颠的赶过来。结果怎么着？真准时啊。哎呦，我说这天海的晚高峰，你是怎么过来的呀？那用背的呀。所以你叫我来，就是为了跟朋友打赌，把我当胡耍。是啊，怎么了？有情绪不爽。不爽你大可以直接离开林家，消失在我眼前，我不拦你，甚至还可以给你一大笔钱，让你下半辈子不用上班都能解决温饱问题。博尔，我打同情是主，看在你我几十年师徒的情分上，我死后保我林家三年。林舒心啊，林舒心，要不是因为我答应了你爷爷，我又何必在你身边待三年。算了，还有三天，三天一到，你林家和我将再无挂钩。哎，我说陆赘婿，这舒心跟你说话呢，你哑巴了呀，别打败仗。陆仁，我劝你趁早离开舒心，别耽误我们舒心的未来。时间也不早了，明天林海有一个重要的合同要谈，我送你回家吧。我他妈你憋半天能憋出个什么屁来呢？撑半天就这样了。这不挺好的吗？当赘婿就得是他这样的，这叫忍辱负重，明白吗？不然这三年他怎么熬过来的啊？也对，不过要是换我呀，肯定不行。哎呀，陆兄，小弟佩服你啊。不用你送，我自己回。嗯，真傻。舒心，等等我。陆仁，其实舒心人挺好的，你多包容包容他的脾气，他不是要羞辱你的意思，你往心里去。没有羞辱我的意思啊。反正也没几天了，就这样吧。哎，陆仁吧，怎么还不回来做饭？嗯，我回来了。你还知道回来呀？看看几点了，你要饿死我们吗？妈，我也有工作。
cuda	0.6B	90s_ja.wav	ja	89.327	4.921	18.153	Japanese	おお、女子アナの仕事に耐える。新宝太子です。本日は島根県にある有名な人気ラーメン店にやってきました。こだわりを教えていただけませんか。やっぱりね、手間暇かけた社準備だよ。なるほど。今日も朝五時に起きてね。スプレーでガチガチに固めてセットしたやよ。髪型のこだわり。おお、女子アナの仕事に耐える。チャーシューにすごくこだわっていると聞いたのですが。やっぱりこの油がいいんだよ。なるほど。これが髪の毛によく馴染む。髪型のこだわり。おお、女子アナの仕事に耐える。髪型ではなくラーメンの話をお願いします。文句があるのか。いえ。じゃあなんだ。お前は俺の髪型じゃなくてラーメンの話が聞きたいというのか。そうです。おお、女子アナの仕事に耐える。ではいただいてみたいと思います。やめて。え。食べないで。え。じゃあ分かった。食べているところ見たくないから食べ終わったら読んで。めちゃおとめ。クソまず。毎日耐えて耐えて耐えて耐えてたたたたたたたたたたえこの日常。
cuda	1.7B	15s_en.wav	en	15.000	1.609	9.321	English	Alright, peeps. Welcome everyone into this crash course about our new 15-minute time frame entry models and strategy. If you are here, it means you have already completed the four hours swing trading strategy. So, congratulations on reaching this.
cuda	1.7B	90s_en.wav	en	90.000	10.130	8.884	English	All right, pipers. Welcome everyone into this crash course about our new 50-minute time frame entry models and strategy. If you are here, it means you have already completed the four-hour swing trading strategy. So congratulations on reaching this next stage in your trading journey. Now, let me be clear upfront. If you haven't fully learned and understood the four-hour strategy, this 50-minute course won't make so much sense to you. The 50-minute entries are built on top of what we already know from the higher time frame strategy. So if you skip ahead, I strongly recommend you going back first before diving in here on the 50-minute time frame. All right. So what's different about this course? Well, first off, we are keeping things simple, short videos, straight to the point, and focused purely on execution. But most importantly, you'll notice that we will be abandoning a few concepts from the four-hour course while introducing some new elements into our playbook. For example, one major shift is that we'll no longer be using the order block entries the way we did them before on the four-hour strategy. But don't worry, we'll cover that exactly why and what we will use instead. So, who is this entry model for? Who is this strategy for? Who will use this 50-minute time frame strategy? This is for those traders who have some extra time to monitor the markets and want to scale in into opportunities to trades on the lower time frame while still leveraging.
cuda	1.7B	180s_en.wav	en	176.309	20.685	8.524	English	Help! Panther! Hang on. Oh, this is gonna be good. I wish I had some popcorn. Hey! Intruder! Intruder! Lockdown initiated. Wendy. Target lock. Intercept intruder. What's this? I don't know. Check it out. Come on! Who hit me? Halt, intruder! Halt, intruder! Surrender now or be subdued. Wait. I recognize that dimwitted snarl. Panther? You're no intruder. But you're not supposed to be out of your. Oh no! Wait. Robo dodge. Now listen here. Uh oh. Robo block. Robo headbutt. Now, as I was saying. Oh boy. Robo out! Please stop hitting me with my own arm. Panther, don't you remember your purpose? You mean besides kicking your shiny butt? This is all a misunderstanding. I'm Beast Bot, head of lab security. Sorry about the arm. Keep it. I always carry a spare. Something's coming. Uh oh. Oh, it's banana. We saving Jimmy or what? Just let me power up real quick. Pandemonium particles? Nope. Last time you had those, you destroyed half the lab. Now what do you mean save Jimmy? That's what I've been trying to tell you. Some kind of monsters took him. Oh no. That must mean the lab's been infiltrated by the Shroud. The Shroud? Oh, that upgrade must have really fried the big guy's memory. Probably because someone released him before it was complete. My bad. When Jimmy and his friends unleashed the power of pandemonium particles, the Shroud invaded. They'll destroy the whole world just to get the peepee. Please don't call it that peepee. Jimmy uses the pandemonium particles to create experiments like you and banana. Why'd you say banana like that? I heard a tone. So why take Jimmy? He's the only one that knows how to make the pink stuff. Ow! Come on. They're probably mashing him as we speak. If the talking banana's right, we gotta get moving. They've clearly figured out a way to evade our security system. We can't track them. He could be anywhere down there, and your upgraded powers haven't activated yet. You're no match for the Shroud. Oh, little Miss Sunshine over here. Banana blaster. We have no idea where Jimmy is or how many Shroud have made it down there. I'll keep each level sealed until you clear it. Okay, Panther. Here's the plan. You. Yeah, you're in charge. Buckle up, banana. Oh yeah. We're gonna save Jimmy. Banana blaster. Good luck, Panther. You're going to need all the help you can get. Banana blaster.
cuda	1.7B	30s_zh.wav	zh	30.092	3.697	8.140	Chinese	我现在在天海酒吧，限你十分钟内到我面前。十分钟，二十公里呢，自己想办法。怎么说啊，舒心？就是怎么样啊，舒心？别卖关子。他说好。真的啊，大姐，这要是十分钟之内他到了，这顿酒我们两口子请的。嗯，要是没到，你请。那我肯定是赢定了。舒心，他毕竟是你丈夫，这样做会不会不太好？有什么不好？自从爷爷死后，这三年来，无论我提出什么，他都不肯跟我离婚。既然他死缠烂打，那我。
